
  72620 atoms

  12 atom types

    -0.162693821    69.837306179 xlo xhi
    -0.043328204    69.956671796 ylo yhi
    -1.425642724   138.574357276 zlo zhi

Masses

   1  12.011150 # c3a
   2  12.011150 # c
   3   1.007970 # h1
   4  15.999400 # o2h
   5   1.007970 # h1o
   6  12.011150 # c44
   7  12.011150 # c4
   8  12.011150 # c3'
   9  15.999400 # o1=
  10  15.999400 # o2s
  11  12.011150 # c4o
  12  12.011150 # c43

Atoms # charge

1 1 0 31.389741066 8.689749380 23.083356104
2 1 0 30.304638615 9.492605474 22.731366423
3 1 0 29.409615892 9.950089110 23.712446174
4 1 0 31.515563579 8.303418570 24.410746735
5 1 0 27.674006585 8.561471229 22.623867559
6 1 0 28.039458146 9.447705711 23.649334407
7 1 0 29.479011409 5.791744680 23.610698843
8 1 0 27.191560055 7.294343964 22.946578756
9 1 0 27.348388943 6.899877707 24.262912653
10 1 0 30.843913890 6.083842681 23.710421261
11 1 0 31.284992955 6.905288465 24.749086848
12 1 0 28.584591012 6.219232664 24.602898662
13 1 0 32.757931476 14.802458638 108.747939217
14 1 0 31.180164208 15.718006287 110.331107544
15 1 0 33.209639395 13.994541696 109.788920489
16 1 0 33.160962955 12.566929263 109.611990795
17 1 0 33.133069406 14.503522609 111.076237984
18 1 0 32.093659690 15.471864387 111.368427781
19 1 0 31.664770593 15.516374664 112.691480479
20 1 0 33.634689077 13.688293840 112.099594275
21 2 0 29.476901829 14.516227615 111.740240593
22 1 0 30.327719529 14.952563124 112.939338949
23 1 0 31.726387608 11.194887579 111.019279520
24 1 0 30.244854910 12.268880005 112.577140084
25 1 0 33.027169819 11.801390460 110.770268713
26 1 0 33.716954485 12.253474493 111.903559547
27 1 0 31.245014690 11.264316086 112.310469914
28 1 0 33.555461188 14.157527153 113.426146698
29 2 0 32.763339554 15.403854530 113.751672161
30 1 0 32.208987459 15.137978791 115.139853682
31 1 0 34.076469682 13.361673503 114.500674500
32 1 0 30.217801030 14.175111699 114.095659387
33 1 0 30.893576869 14.547799685 115.266457532
34 1 0 32.194796480 11.135662670 113.326027542
35 1 0 30.093602237 12.765456789 113.867217378
36 2 0 30.388226549 11.772962476 114.938226086
37 1 0 33.550584523 11.515379980 113.061403627
38 2 0 34.397105923 11.918683061 114.247182586
39 1 0 31.761374369 11.248573770 114.660797692
40 1 0 34.119614113 13.860078422 115.821762512
41 1 0 33.106917602 14.831281532 116.152434228
42 1 0 32.587558235 14.743722199 117.447826371
43 1 0 34.684438542 13.081913512 116.847616542
44 1 0 30.630687481 13.805711350 116.431988555
45 1 0 31.237374710 14.228291922 117.604129310
46 1 0 32.622391522 10.888001171 115.708916525
47 1 0 30.430542693 12.374512835 116.314088522
48 1 0 30.940464545 11.566840834 117.323426738
49 1 0 34.005774803 11.204628445 115.535936899
50 1 0 34.628572336 11.630629873 116.693828434
51 1 0 32.088807626 10.749444461 116.993973963
52 1 0 34.633078462 13.601390863 118.157141524
53 1 0 33.501595671 14.462527145 118.480430004
54 1 0 32.944217960 14.421665726 119.759635959
55 1 0 35.141345546 12.768900184 119.154566159
56 1 0 30.958703977 13.507908698 118.782187530
57 1 0 31.627494186 13.964704145 119.916836329
58 1 0 32.989672143 10.422246054 118.023505989
59 1 0 30.847985354 12.063270706 118.637665649
60 1 0 31.359649042 11.208109561 119.623162559
61 1 0 34.359790559 10.892512406 117.870660406
62 1 0 34.998768062 11.381124995 119.009711143
63 1 0 32.424882974 10.362900782 119.300147777
64 1 0 31.078176282 9.269993720 25.350313860
65 1 0 29.962054866 10.128984733 24.999222261
66 1 0 29.067411552 10.408531898 26.050527179
67 1 0 31.210027431 8.979166900 26.721864018
68 1 0 27.362367755 9.249428383 24.876211794
69 1 0 27.681948646 10.065477590 25.942939443
70 1 0 29.195271938 6.548873990 25.854745291
71 1 0 27.007030839 7.881434554 25.198190911
72 2 0 27.001212995 7.425310212 26.636862889
73 1 0 30.609662686 6.747550441 25.958125331
74 2 0 31.166340093 7.525484952 27.148869293
75 1 0 28.394020050 6.997003679 26.910349974
76 2 0 30.938669132 10.110836422 27.671591942
77 1 0 29.560260503 10.581396781 27.349991976
78 1 0 28.743274940 11.132789290 28.358635579
79 1 0 30.862962152 9.665440913 29.110559599
80 2 0 26.787367416 9.984044146 27.177203220
81 1 0 27.345986549 10.789749339 28.343287806
82 1 0 28.877424628 7.073932412 28.225017425
83 1 0 26.735248061 8.533555994 27.613301941
84 1 0 26.858075852 8.218954154 28.984471017
85 1 0 30.257652133 7.422031581 28.356333926
86 1 0 30.538939467 8.275658640 29.410260514
87 1 0 27.978712229 7.345862046 29.286365051
88 1 0 30.426555851 10.636266042 30.021606406
89 1 0 29.336591556 11.481154910 29.578649247
90 2 0 28.447117255 12.181693607 30.590853504
91 1 0 30.478893512 10.297499948 31.372437763
92 1 0 26.807690408 10.534933546 29.609273211
93 1 0 27.222853757 11.323163253 30.710369884
94 1 0 28.532371349 7.499169288 30.560026920
95 1 0 26.487545037 9.168099489 29.948594699
96 1 0 26.652279275 8.824739134 31.297837121
97 1 0 29.865497708 8.052667295 30.612844979
98 1 0 30.126540385 8.936298995 31.655922614
99 1 0 27.705089576 7.877610260 31.608759934
100 1 0 30.099670294 11.245150270 32.324900612
101 1 0 29.045885517 12.179787575 31.993896447
102 1 0 28.214459266 12.581487420 33.035688366
103 1 0 30.220376382 10.896766835 33.670912148
104 1 0 26.607192283 11.140514906 31.964460969
105 1 0 26.874991815 12.028798771 33.009961266
106 2 0 28.319566626 7.848224330 33.001642118
